review_id,user_name,content,rating,thumbs_up,review_date,sentiment,scraped_at
970358f1-9acd-4cf2-b487-e81248e5816f,Karlina Febiana,"benci banget sama notif gopay dari gojek yang ""gak bisa bayar 100.000 ke google play pake gopay karna saldo kurang"" itu maksudnya apasih? padahal saya gapernah bayar topup/langganan di play store sama di gojek, tolong hentikan/hapuskan, saya risih, soalnya kalo nanti saya topup gopay bisa saja langsung kesedot/hilang uang saya, gimana ini????",1,0,2025-11-27 19:22:17,sangat_negatif,2025-11-28 19:27:38.056521
2ee8392a-b280-463e-b6f8-88f58f5e4f82,benben yogyog,"aplikasi makin kesini makin mengecewakan, 3 x ditolak driver g niat kerja!!!!!! 👎👎👎👎👎👎👎👎👎👎👎🏾",1,0,2025-11-27 18:44:19,sangat_negatif,2025-11-28 19:27:38.056521
642cd3c1-5992-4fcf-acbc-26d6e242f908,elkimoy,pantesan mau diakusisi grab. aplikasi ampas. lg butuh cepet pake verif wajah segala. bye gojek. GWS,1,1,2025-11-27 18:41:33,sangat_negatif,2025-11-28 19:27:38.056521
63829d29-30a0-4915-960b-018bda283f1b,Riswanto Bae,terus dan terus kalau order gofood pasti dpt driver yang susah di hubungin. lg laper laper malah dpt driver ga jelas,1,0,2025-11-27 17:59:06,sangat_negatif,2025-11-28 19:27:38.056521
1976196b-0981-4697-a68e-099dac91993b,Ge,"Nih ya untuk para driver gojek yang dapat orderan pengiriman instan dari aplikasi marketplace, jangan pilih-pilih oderan napa sih. Merugikan pembeli tau, nunggu berjam-jam, giliran sudah dapat driver eh dibatal kan terus menerus. lu pada harus iklas dapat orderan apapun ya syukuri, malah pengen jarak dekat ongkos tinggi. jangan gitu sih",1,0,2025-11-27 17:50:21,sangat_negatif,2025-11-28 19:27:38.056521
900659c4-5225-4486-8e17-25dbb8570d0c,Vatli Rivaldianto,Ketika sulit untuk dapat driver malah di suruh nunggu sampe 1 jam baru bisa dibatalkan. padahal cuman mau pesan makanan doang malah harus nunggu 1 jam. keburu lapar woii!!!,1,0,2025-11-27 16:17:58,sangat_negatif,2025-11-28 19:27:38.056521
dbe46cac-8807-4451-96f8-159f247ce01e,SIGNAL HT-ITB,"Goblog suka autotip sendiri, dibuat yg clear lah tombolnya.",1,0,2025-11-27 15:44:24,sangat_negatif,2025-11-28 19:27:38.056521
9a7f2cb6-ae15-4acd-93ee-221f3024663d,maria panggabean,Pesan makanan lama sekali sampai dingin. ditanya tukang ojeknya kata nya double order. padahal saya pesan reguler. tidak rekomen skrg pesan di gofood,1,2,2025-11-27 15:23:35,sangat_negatif,2025-11-28 19:27:38.056521
93d7c0ed-0fcb-495a-9fd0-30851917f640,Pepi Il Pinturichio,"Ngebug mulu, sekarang gak bisa donwload bukti Gosend",1,7,2025-11-27 14:36:13,sangat_negatif,2025-11-28 19:27:38.056521
5d5ac7d7-970c-4df0-8358-b30fa1469d5d,Rohim Oim,"buat castamer gojek,jgn pas ujan aja lo order maxim cri yg murah,lo nikmatin aj argo lonjakan ny berasa kn..cs miskin",1,0,2025-11-27 14:29:57,sangat_negatif,2025-11-28 19:27:38.056521
b0b7949d-7ccb-4b9e-be68-8f5ef5926568,apa saja 99,"buat para customer jangan suka pakai layanan yang instant"" banyak potongan di ongkos nya.potongan ride dari 20-35%. apalagi sekarang ada sistem slot gofood gosend goride.jadi yang driver reguler di bisukan karena tidak ikut slot😂😂😂",1,0,2025-11-27 14:14:43,sangat_negatif,2025-11-28 19:27:38.056521
56f67a8d-f3cc-451a-b164-a38c350e05e7,Avive Five,GILA NIH GOJEK! MASA CUSTOMER DISURUH NUNGGU BERJAM² AGAR RESTO MENDAPATKAN DRIVER. HARUSNYA KAYAK SHOPEEFOOD WAKTU MENUNGGU HANYA 12 MENIT PADAHAL ONGKIR SHOPEE 16 RIBU. LAH GOJEK ONGKIR 30RB KARNA PREMIUM TAPI PELAYANAN MERUGIKAN CUSTOMER! ORANG LAPAR KOK DISURUH NUNGGU BERJAM² KEBURU MATI KELAPARAN ANAKKU! MAU DICANCEL GAK BISA!,1,2,2025-11-27 14:05:18,sangat_negatif,2025-11-28 19:27:38.056521
3c7c83e2-7179-45c8-8b29-a189cb941fb6,muthia 17,"driver sulit didapatkan tapi fitur untuk batalkan pesanan tidak bisa, masa iya harus nunggu waktu estimasi untuk mendapatkan driver selama 1 jam",1,0,2025-11-27 13:46:17,sangat_negatif,2025-11-28 19:27:38.056521
83dd8e7f-4b93-40ab-a773-388debf6d66f,Muhaamad Paisal,"saya punya pengalaman yg buruk,saya memesan gojek buat teman saya dengan harga 54rb,dan anehya dia mengantar ya tidak sesuai map yg dikasih tau,dan meminta uang seharga 70k sedangkan harga diaplikasi 54rb,pantes dia pas datang meminta melihat hp saya ternyata mau mengcancel y dan saya disitu tidak tahu,tolong kasih pelajaran buat gojek ya saya punya ss an ya",1,0,2025-11-27 13:14:04,sangat_negatif,2025-11-28 19:27:38.056521
da930851-e00c-40a1-8787-9c5b06bf858b,Ardia Indah pratiwi,fitur GoFood nya masih sangat kurang dan butuh perbaikan,1,1,2025-11-27 13:06:08,sangat_negatif,2025-11-28 19:27:38.056521
