review_id,content,content_clean,sentiment,rating
23017261-7545-45c6-85b6-b49b9e687f9d,"alfatihah untuk almarhum Affan Kurniawan,sukses terus gojek","alfatihah untuk almarhum affan kurniawan,sukses terus gojek",positive,5
7b8a1c71-0739-4861-a4f9-683f4d588c3d,sukaaa bangettt sama gojekkk banyakkk vocherrr promonyaaaa❤️,sukaa bangett sama gojekk banyakk vocherr promonyaa,positive,5
d629804a-b0f6-4806-9a52-a5f855d590ca,"Ini gimana sih,masa mesen gojek salah titik jemputnya Pdhl udah dikasi alamat yg betul","ini gimana sih,masa mesen gojek salah titik jemputnya pdhl udah dikasi alamat yg betul",negative,2
9cbb64f0-d76d-4516-beed-97012714cee5,"Sangat membantu. Drivernya baik2, hati2 & sopan. Pertahankan yg sdh baik. Sehat selalu & sukses.","sangat membantu. drivernya baik2, hati2 & sopan. pertahankan yg sdh baik. sehat selalu & sukses.",positive,5
9466d9f1-d378-4b21-907e-02f3434f9eda,waktu penjemputan tepat waktu tidak lama pelayanan baik 👍,waktu penjemputan tepat waktu tidak lama pelayanan baik,positive,5
cd088de6-ed52-4063-9209-1e0a1512ce49,kalau titik penjem butan di desa bnyak driver yg minta cencel,kalau titik penjem butan di desa bnyak driver yg minta cencel,positive,4
b029a280-9272-441f-8e32-7492f88d956d,seperti di bonceng sama temen sendiri .. kita ngobrol ngalor ngidul sampe ketawa ketawa ..😀😀😀,seperti di bonceng sama temen sendiri .. kita ngobrol ngalor ngidul sampe ketawa ketawa ..,positive,5
f416744c-10ea-4137-aa0e-02ecbd2bf70b,"min, minta metode pembayaran qris dong. untuk mempermudah pembayaran ketika kita lupa membawa cash","min, minta metode pembayaran qris dong. untuk mempermudah pembayaran ketika kita lupa membawa cash",neutral,3
15c27fc3-0feb-475c-8b22-c6bb114b12a7,"Kenapa tarif ongkir untuk pengantaran gofood lebih mahal dibandingkan harga makanannya sendiri, sudah harga makanan dinaikan dari harga aslinya, sudah naik harga asli makanan, ditambah lagi biaya pelayanan+ biaya pengantaran dan lain sebagainya. Tekor pembeli uy","kenapa tarif ongkir untuk pengantaran gofood lebih mahal dibandingkan harga makanannya sendiri, sudah harga makanan dinaikan dari harga aslinya, sudah naik harga asli makanan, ditambah lagi biaya pelayanan+ biaya pengantaran dan lain sebagainya. tekor pembeli uy",negative,2
49450ffd-92ec-4dd4-9ecc-2b5ed1904ca4,Ada driver yang dekat tetapi dikasih driver yang jauh. Sistem pencarian driver yang menyusahkan customer sekaligus driver.,ada driver yang dekat tetapi dikasih driver yang jauh. sistem pencarian driver yang menyusahkan customer sekaligus driver.,negative,1
5ebd5fee-6dc7-4e65-ab1f-40ce442245c8,Kenapa belakangan dapet drivernya lama + jauh sih!,kenapa belakangan dapet drivernya lama + jauh sih!,positive,4
65c17955-d9d3-45e2-af00-fe49ba91d340,"Update mulu lu, tiap mau bayar gopaylater mesti update mulu, nyusahin","update mulu lu, tiap mau bayar gopaylater mesti update mulu, nyusahin",neutral,3
2468bebd-2442-4650-8f1a-d0952146f304,makin ke sini makin aneh driver nya sering cancel² dan jauh²,makin ke sini makin aneh driver nya sering cancel dan jauh,negative,1
5cfc73b8-8a5b-48b5-be2f-b2037e6ac427,"Makin kesini aplikasi sangat tidak bagus. Tidak bisa cancle pesanan karena susah dpt driver. Tapi nanti cancle sendiri karena semua driver sibuk. Ga jelas Padahal saya sudah nunggu 1,5jam .","makin kesini aplikasi sangat tidak bagus. tidak bisa cancle pesanan karena susah dpt driver. tapi nanti cancle sendiri karena semua driver sibuk. ga jelas padahal saya sudah nunggu 1,5jam .",negative,2
