review_id,user_name,content,rating,thumbs_up,review_date,sentiment,scraped_at,content_clean,sentiment_new,sentiment_old,label
8f0c139c-47de-40a6-aeff-fed6e798997c,Ema Maharani,"Map nya super duper ngawur. Lewat jalan sempit berliku. Padahal ada jalan yg besar puter baliknya gampang. Belum lagi map alamat saya jelas, map di driver beda titik. Jam, mbencekno",3,11,2024-09-24 20:41:41,negative,2025-11-28 19:30:23.794768,map nya super duper ngawur lewat jalan sempit berliku padahal ada jalan yang besar puter baliknya gampang belum lagi map alamat saya jelas map di driver beda titik jam mbencekno,negative,neutral,0
1f4013b7-b143-4e7a-8768-7de2e922dc5e,tri setianingrum,rating 2 krn drivernya pernah minta pulsa sm aku akesannya buat telfon cs gojek pusat buat batalin pesanan. 10k ku hilang jek gojek 😭😭🙏🙏🙏,2,0,2024-06-23 21:28:05,negative,2025-11-28 19:30:23.794768,rating karena driver pernah minta pulsa sama aku akesannya buat telfon cs gojek pusat buat batalin pesanan 10k ku hilang jek gojek,negative,negative,0
fbfe2a47-726d-4bcb-8343-ebba52ef4d8a,riska meilan manurung,"Sedih jdi mahal, bayar jasa aplikasi besar dan lain2 nya, padahal dari driver , penjual juga sudah d bebanin jasa aplikasi",3,0,2023-03-01 20:25:38,negative,2025-11-28 19:30:23.794768,sedih jadi mahal bayar jasa aplikasi besar dan lain2 nya padahal dari driver penjual juga sudah bebanin jasa aplikasi,negative,neutral,0
2ad1c868-c832-48ce-94a5-3a9d4f63320c,Hasti,Aplikasinya mudah digunakan & ada banyak pilihan promo 😍😍,5,7,2025-08-20 12:43:19,positive,2025-11-28 19:30:23.794768,aplikasi mudah digunakan ada banyak pilihan promo,positive,positive,2
d61a1e9f-aa46-4082-b1f5-79b847ce7f92,Dava Amaliah,Gak jelas bgt aplikasi nya suka ngebug udh di batalin masih aja tetep muncul,3,0,2023-08-02 20:22:48,negative,2025-11-28 19:30:23.794768,tidak jelas banget aplikasi nya suka ngebug sudah di batalin masih saja tetep muncul,negative,neutral,0
cabca563-f1fa-499f-b241-bfff0f9bbb47,Madona Nadia,"kesel pas mau rating ada driver yg ngebut bikin bahaya turunan,, orng nya yg d rating udh bnr tiba"" keganti sendri, pas dikatik lapotan malah yg ke klik driver lain yg sama jam nya tujuannya sama,, aneh..",4,1,2024-09-24 12:04:29,neutral,2025-11-28 19:30:23.794768,kesal pas mau rating ada driver yang ngebut bikin bahaya turunan orang nya yang rating sudah benar tiba keganti sendri pas dikatik lapotan malah yang ke klik driver lain yang sama jam nya tujuannya sama aneh,neutral,positive,1
ef62fabf-7296-418e-80a0-d567f27a8cf6,teguh andria nugraha,"Tolong diperbaiki!!! .. Di aplikasi driver belum masuk..driver sdh tlp,",4,2,2024-10-09 06:01:34,positive,2025-11-28 19:30:23.794768,tolong diperbaiki di aplikasi driver belum masuk driver sudah tlp,positive,positive,2
62f4a9c7-3718-4d0b-bb9d-a769c40047e9,angie roderica,"Kalau di Jakarta, drivernya payah sih. Tidak berani membatalkan orderan tetapi juga tidak memberi kabar sama sekali bahwa mereka tidak mau pick-up. Sudah gitu, bagian CSnya hanya robot, pilihan untuk komplain hanya dijawab seadanya. Kalau mau bikin CS ya yang bisa kasih solusi dong.",3,6,2025-10-31 18:18:08,neutral,2025-11-28 19:30:23.794768,kalau di jakarta driver payah sih tidak berani membatalkan orderan tetapi juga tidak memberi kabar sama sekali bahwa mereka tidak mau pick up sudah gitu bagian csnya hanya robot pilihan untuk komplain hanya dijawab seadanya kalau mau bikin cs ya yang bisa kasih solusi dong,neutral,neutral,1
7033c12c-f187-4c1e-81c0-e6e47ec97139,Tirrta 0789,Tolong klo kasih promo diskon yang valid jangan berubah 🙏,3,0,2025-02-15 18:23:24,neutral,2025-11-28 19:30:23.794768,tolong kalau kasih promo diskon yang valid jangan berubah,neutral,neutral,1
f78213ee-732c-4d11-855f-30ab1b079360,Kaka Kaka,"lemot , pesan makan sampe 2jam nunggu , mending pakai grab atau maxim",1,1,2025-10-17 17:30:36,negative,2025-11-28 19:30:23.794768,lambat pesan makan sampe 2jam nunggu mending pakai grab atau maxim,negative,negative,0
d31636dd-1310-4ce2-9dc8-28379f47394d,Latifah,"Cuma mau curhat min,tadi pagi dpt driver yg betul2 ngeyel dia kukuh mau pake jln sesuai maps sedangkan sy mau ambil jln pintas dia menggerutu seperti kesal karena katanya jln sy lebih jauh pdhl jln pilihan sy memang lebih dekat,sy selisih paham dan sy memutuskan turun di tengah jalan tanpa sampai ke tujuan..cobalah kasih ilmu sedikit para driver itu awal ketemu sama penumpang harusnya tanya dan pastikan tujuannya betul tidak dan tanya juga mau pake jalan mana,ini malah sok tau dan keras kepala",3,0,2023-09-14 14:15:22,neutral,2025-11-28 19:30:23.794768,cuma mau curhat min tadi pagi dapat driver yang betul2 ngeyel dia kukuh mau pake jln sesuai maps sedangkan saya mau ambil jln pintas dia menggerutu seperti kesal karena katanya jln saya lebih jauh pdhl jln pilihan saya memang lebih dekat sy selisih paham dan saya memutuskan turun di tengah jalan tanpa sampai ke tujuan cobalah kasih ilmu sedikit para driver itu awal ketemu sama penumpang harusnya tanya dan pastikan tujuannya betul tidak dan tanya juga mau pake jalan mana ini malah sok tau dan keras kepala,neutral,neutral,1
5ebd5fee-6dc7-4e65-ab1f-40ce442245c8,Desty Tri Wijayanti,Kenapa belakangan dapet drivernya lama + jauh sih!,4,0,2024-09-08 11:07:48,neutral,2025-11-28 19:30:23.794768,kenapa belakangan dapat driver lama jauh sih,neutral,positive,1
a0976b2c-88b4-45e6-8e0d-ae47d1917adb,Tanti Unyil,"udah ada Otp via WA msh aja diminta otp via email, ribet amat gx kya grab, lagian otp via WA sudah cukup harusnya, kenapa harus lewat email, itu kan privasi",1,1,2025-11-19 10:19:24,negative,2025-11-28 19:30:23.794768,sudah ada otp via wa masih saja diminta otp via email ribet amat tidak kya grab lagian otp via wa sudah cukup harusnya kenapa harus lewat email itu kan privasi,negative,negative,0
34ebe0d7-2ff2-4685-8b36-348c86cb731f,Fitriah Mrs.,nyesel banget edit lokasi tujuan harga nya berkali kali lipat.niat nya biar ada salah sma drivertau gitu mending tak cancel,1,1,2025-10-13 01:17:33,negative,2025-11-28 19:30:23.794768,nyesel banget edit lokasi tujuan harga nya berkali kali lipat niat nya supaya ada salah sama drivertau gitu mending tak cancel,negative,negative,0
ac7397be-4b33-446a-9446-0398f509a026,QI Click,KLO drivernya ga niat narik mending ga usah JD driver asw,1,1,2025-10-25 17:56:12,negative,2025-11-28 19:30:23.794768,kalau driver tidak niat narik mending tidak usah jadi driver asw,negative,negative,0
b09681e6-7fd0-427a-9a5d-39476e173c55,Muhammad fahrul rozi Hasibuan,"sangat tidak manusiawi dengan mitranya, namanya saja mitra tetapi perlakuan tidak seperti mitra, driver seperti sapi perah dibuat aplikasi ini",1,2,2025-10-21 20:35:12,neutral,2025-11-28 19:30:23.794768,sangat tidak manusiawi dengan mitranya namanya saja mitra tetapi perlakuan tidak seperti mitra driver seperti sapi perah dibuat aplikasi ini,neutral,negative,1
025dd363-609b-4620-90e2-3dc7e3cdc046,Kaze Vt,"Terima kasih gojek, karena gopaylater saya tidak bisa aktif dan saya kena denda karena telat membayar tunggakan saya, terimakasih sekali untuk kendala aplikasi nya gopaylater muter² terus/loading, sip semoga kedepannya lebih teliti untuk masalah masalahnya, jangn tunggu orang lain yg ngasih info masalahnya apa, jujur saya benci",5,4,2025-09-15 22:52:29,positive,2025-11-28 19:30:23.794768,terima kasih gojek karena gopaylater saya tidak bisa aktif dan saya kena denda karena telat membayar tunggakan saya terimakasih sekali untuk kendala aplikasi nya gopaylater muter² terus loading sip semoga kedepannya lebih teliti untuk masalah masalahnya jangn tunggu orang lain yang ngasih info masalahnya apa jujur saya benci,positive,positive,2
78c27451-2a79-41f5-878b-9f98586fb428,Rafki Rahmadian Kurnia,"Tidak ada konfirmasi ulang menggunakan pin ketika memberi tip, sukses menguras saldo gopay saya sampai habis karena kepencet di kantong.",1,1,2025-10-16 17:51:04,neutral,2025-11-28 19:30:23.794768,tidak ada konfirmasi ulang menggunakan pin ketika memberi tip sukses menguras saldo gopay saya sampai habis karena kepencet di kantong,neutral,negative,1
47af8b0f-29f1-4d28-b786-0c0e6142e7b8,Oppo Indonesia,"Belakang nich gx nyaman ama driver gofood, bisa yea ambil beberapa pesanan padahal tidak searah k alamat tujuan , TDK konfirmasi , dan profil am driver pengantar beda, beda motor beda org..,",3,0,2024-06-03 19:36:09,neutral,2025-11-28 19:30:23.794768,belakang nich tidak nyaman ama driver gofood bisa yea ambil beberapa pesanan padahal tidak searah alamat tujuan tidak konfirmasi dan profil am driver pengantar beda beda motor beda org,neutral,neutral,1
4aff5173-1cd8-4f6b-86b5-b16cad43d50a,Risa Pangkosih,"mangbowleh gopay ga kembali lagi pas balik ke akun lama pdhl nomor aktif email aktif dan baru beberpa menit doang udah lenyap gopay kmnaaa gopay nya? agak"" fitur nya skrng dulu ga gitu tetap gopay aman. sekarang lenyap",3,0,2024-04-08 09:01:28,neutral,2025-11-28 19:30:23.794768,mangbowleh gopay tidak kembali lagi pas balik ke akun lama pdhl nomor aktif email aktif dan baru beberpa menit saja sudah lenyap gopay kmnaaa gopay nya agak fitur nya sekarang dulu tidak gitu tetap gopay aman sekarang lenyap,neutral,neutral,1
e54a63ee-18bd-4bbf-bb19-225124e6a28e,Andramaya KP,"susah sekali cari gojek, berjam² gak dpt².. sekalinya dapat, dibatalin otomatis",2,1,2025-05-13 14:18:39,negative,2025-11-28 19:30:23.794768,susah sekali cari gojek berjam² tidak dpt² sekalinya dapat dibatalin otomatis,negative,negative,0
2cf1341e-25eb-41c9-abf1-a5cdefb0cbfa,dian rahayu,"Kendala kita kalo lagi hujan gak pernah dapet driver untuk ambilin makanan yg kita pesan, padahal pada saat itu lah kita sangan butuh bantuan gojek buat beliin kita makan, saya gak tau apa emang semua sibuk atau emang semua males ambil orderan, harus lebih tegas lagi dari pihak management nya biar driver yg males di putus aja kerja sama nya",3,0,2024-12-22 05:53:41,neutral,2025-11-28 19:30:23.794768,kendala kita kalau lagi hujan tidak pernah dapat driver untuk ambilin makanan yang kita pesan padahal pada saat itu lah kita sangan butuh bantuan gojek buat beliin kita makan saya tidak tau apa memang semua sibuk atau memang semua males ambil orderan harus lebih tegas lagi dari pihak management nya supaya driver yang males di putus saja kerja sama nya,neutral,neutral,1
15c9f799-ba6e-4874-83ae-186b1eaa4aeb,Vita Yulianti,"hiks, langganan plus di tokopedia hanya dpt diskon 5%. Langganan plus 90 hr di gojek, ngga dapat diskon makanan di gofood, hanya diskon ongkir. 😞. Tau gitu, engga langganan",2,1,2025-10-12 15:58:32,negative,2025-11-28 19:30:23.794768,hiks langganan plus di tokopedia hanya dapat diskon langganan plus hr di gojek tidak dapat diskon makanan di gofood hanya diskon ongkir tau gitu engga langganan,negative,negative,0
f9f576e5-5d1f-483b-91ff-28e21fdc37f2,Aguk hariono,terbantu banget dengan adanya gojek. terimakasih banyak gojek,5,0,2025-06-13 17:13:06,positive,2025-11-28 19:30:23.794768,terbantu banget dengan adanya gojek terimakasih banyak gojek,positive,positive,2
